#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1906.20   -0.083772    0.021684   -0.021551    0.021069   0.0000136   0.0000000    0.233205    0.000000    0.017010    0.000000
   1906.25   -0.100166    0.021431   -0.019594    0.019116  -0.0001685   0.0000000    0.234417    0.000000    0.016310    0.000000
   1906.30   -0.116476    0.016746   -0.026466    0.016035   0.0002209   0.0000000    0.234784    0.000000    0.015875    0.000000
   1906.35   -0.135233    0.020526    0.005510    0.018001  -0.0000098   0.0000000    0.233651    0.000000    0.015751    0.000000
   1906.40   -0.152472    0.015677    0.033483    0.016190  -0.0001915   0.0000000    0.233001    0.000000    0.015372    0.000000
   1906.45   -0.141174    0.014322    0.081086    0.015546   0.0002687   0.0000000    0.230788    0.000000    0.015951    0.000000
   1906.50   -0.120107    0.017463    0.105390    0.016696  -0.0001088   0.0000000    0.227622    0.000000    0.016511    0.000000
   1906.55   -0.106461    0.014679    0.115365    0.015369  -0.0000807   0.0000000    0.225339    0.000000    0.016086    0.000000
   1906.60   -0.096321    0.013217    0.130533    0.016961   0.0001503   0.0000000    0.223354    0.000000    0.016098    0.000000
   1906.65   -0.057892    0.014704    0.114888    0.015208   0.0000185   0.0000000    0.221567    0.000000    0.016356    0.000000
   1906.70   -0.034652    0.015438    0.135164    0.014284  -0.0001519   0.0000000    0.221377    0.000000    0.016397    0.000000
   1906.75   -0.030653    0.017758    0.140349    0.019035   0.0001320   0.0000000    0.222424    0.000000    0.017069    0.000000
   1906.80   -0.026697    0.017625    0.123357    0.016306  -0.0000529   0.0000000    0.224033    0.000000    0.017671    0.000000
   1906.85    0.029180    0.025982    0.189476    0.019896  -0.0002979   0.0000000    0.226124    0.000000    0.018312    0.000000
   1906.90   -0.000130    0.019451    0.169077    0.016940   0.0002781   0.0000000    0.227438    0.000000    0.019516    0.000000
   1906.95    0.007576    0.021166    0.178290    0.022830   0.0000395   0.0000000    0.228109    0.000000    0.020410    0.000000
   1907.00    0.028737    0.026194    0.195489    0.021825  -0.0001433   0.0000000    0.229504    0.000000    0.020479    0.000000
   1907.05    0.030697    0.023324    0.122723    0.025631   0.0002695   0.0000000    0.229415    0.000000    0.020675    0.000000
   1907.10    0.005819    0.022995    0.058997    0.025119  -0.0000251   0.0000000    0.229316    0.000000    0.020117    0.000000
   1907.15    0.011197    0.017749    0.085996    0.018124  -0.0001115   0.0000000    0.230271    0.000000    0.018909    0.000000
   1907.20    0.025910    0.019149    0.045477    0.018843   0.0001479   0.0000000    0.230832    0.000000    0.017842    0.000000
   1907.25    0.010137    0.017946    0.033984    0.018052  -0.0000638   0.0000000    0.230900    0.000000    0.017094    0.000000
   1907.30    0.037514    0.017417   -0.010278    0.018276  -0.0002069   0.0000000    0.232205    0.000000    0.016631    0.000000
   1907.35   -0.004575    0.016073   -0.015724    0.017205   0.0002058   0.0000000    0.232001    0.000000    0.016617    0.000000
   1907.40   -0.018295    0.016880   -0.015113    0.016663  -0.0000697   0.0000000    0.229964    0.000000    0.016777    0.000000
